dt,token_symbol,total_supply
2024-04-05 00:00:00.000 UTC,rsETH,220568.11290589088
2024-04-06 00:00:00.000 UTC,rsETH,222842.8343835604
2024-04-07 00:00:00.000 UTC,rsETH,225241.93312351409
2024-04-08 00:00:00.000 UTC,rsETH,227753.79448428823
2024-04-09 00:00:00.000 UTC,rsETH,230585.06482451325
2024-04-10 00:00:00.000 UTC,rsETH,232067.13962498703
2024-04-11 00:00:00.000 UTC,rsETH,233272.43671675582
2024-04-12 00:00:00.000 UTC,rsETH,235084.931673365
2024-04-13 00:00:00.000 UTC,rsETH,236406.05482690697
2024-04-14 00:00:00.000 UTC,rsETH,236658.3005218225
2024-04-15 00:00:00.000 UTC,rsETH,237849.69558285148
2024-04-16 00:00:00.000 UTC,rsETH,240078.77551742626
2024-04-17 00:00:00.000 UTC,rsETH,241398.85248614324
2024-04-18 00:00:00.000 UTC,rsETH,242060.21290072618
2024-04-19 00:00:00.000 UTC,rsETH,245081.6959685577
2024-04-20 00:00:00.000 UTC,rsETH,245982.3382996193
2024-04-21 00:00:00.000 UTC,rsETH,247683.98716885012
2024-04-22 00:00:00.000 UTC,rsETH,248842.36203942218
2024-04-23 00:00:00.000 UTC,rsETH,249405.29057409096
2024-04-24 00:00:00.000 UTC,rsETH,250004.31371847005
2024-04-25 00:00:00.000 UTC,rsETH,250623.80732325476
2024-04-26 00:00:00.000 UTC,rsETH,257124.82676718882
2024-04-27 00:00:00.000 UTC,rsETH,257855.10485542828
2024-04-28 00:00:00.000 UTC,rsETH,258233.7828792525
2024-04-29 00:00:00.000 UTC,rsETH,258490.8671831757
2024-04-30 00:00:00.000 UTC,rsETH,260225.93011090974
2024-05-01 00:00:00.000 UTC,rsETH,260556.94655964145
2024-05-02 00:00:00.000 UTC,rsETH,260634.05457150334
2024-05-03 00:00:00.000 UTC,rsETH,260890.01720217214
2024-05-04 00:00:00.000 UTC,rsETH,261261.09525473593
2024-05-05 00:00:00.000 UTC,rsETH,261714.24674509405
2024-05-06 00:00:00.000 UTC,rsETH,261958.50475526243
2024-05-07 00:00:00.000 UTC,rsETH,263470.4470993687
2024-05-08 00:00:00.000 UTC,rsETH,264596.32466961
2024-05-09 00:00:00.000 UTC,rsETH,264734.47505395045
2024-05-10 00:00:00.000 UTC,rsETH,265324.06425863836
2024-05-11 00:00:00.000 UTC,rsETH,265786.3297494683
2024-05-12 00:00:00.000 UTC,rsETH,266187.9872287686
2024-05-13 00:00:00.000 UTC,rsETH,254954.43641358483
2024-05-14 00:00:00.000 UTC,rsETH,255325.4848898888
2024-05-15 00:00:00.000 UTC,rsETH,255538.9663597775
2024-05-16 00:00:00.000 UTC,rsETH,253928.06001283895
2024-05-17 00:00:00.000 UTC,rsETH,254141.56352214352
2024-05-18 00:00:00.000 UTC,rsETH,251317.13282449477
2024-05-19 00:00:00.000 UTC,rsETH,251490.67012584818
2024-05-20 00:00:00.000 UTC,rsETH,251582.36873987707
2024-05-21 00:00:00.000 UTC,rsETH,253518.12728545978
2024-05-22 00:00:00.000 UTC,rsETH,250418.5834913416
2024-05-23 00:00:00.000 UTC,rsETH,250476.94733568918
2024-05-24 00:00:00.000 UTC,rsETH,250489.11004818053
2024-05-25 00:00:00.000 UTC,rsETH,250548.19627015782
2024-05-26 00:00:00.000 UTC,rsETH,249443.03154356976
2024-05-27 00:00:00.000 UTC,rsETH,249480.4920931639
2024-05-28 00:00:00.000 UTC,rsETH,300871.15542082995
2024-05-29 00:00:00.000 UTC,rsETH,300996.46149304067
2024-05-30 00:00:00.000 UTC,rsETH,301299.4463709874
2024-05-31 00:00:00.000 UTC,rsETH,302815.92306124856
2024-06-01 00:00:00.000 UTC,rsETH,295753.71720538696
2024-06-02 00:00:00.000 UTC,rsETH,295997.3724757737
2024-06-03 00:00:00.000 UTC,rsETH,296620.73978222295
2024-06-04 00:00:00.000 UTC,rsETH,297153.2415629176
2024-06-05 00:00:00.000 UTC,rsETH,297156.0006714451
2024-06-06 00:00:00.000 UTC,rsETH,297113.89946327213
2024-06-07 00:00:00.000 UTC,rsETH,297644.9581141743
2024-06-08 00:00:00.000 UTC,rsETH,296961.0920475664
2024-06-09 00:00:00.000 UTC,rsETH,296987.91426528123
2024-06-10 00:00:00.000 UTC,rsETH,295128.9836652806
2024-06-11 00:00:00.000 UTC,rsETH,295450.6071035246
2024-06-12 00:00:00.000 UTC,rsETH,296894.8046211882
2024-06-13 00:00:00.000 UTC,rsETH,297378.7885656306
2024-06-14 00:00:00.000 UTC,rsETH,297465.5870315092
2024-06-15 00:00:00.000 UTC,rsETH,297521.74521545426
2024-06-16 00:00:00.000 UTC,rsETH,297032.98074970965
2024-06-17 00:00:00.000 UTC,rsETH,298159.39156214584
2024-06-18 00:00:00.000 UTC,rsETH,298286.8584937843
2024-06-19 00:00:00.000 UTC,rsETH,299752.15208442515
2024-06-20 00:00:00.000 UTC,rsETH,299741.7916600338
2024-06-21 00:00:00.000 UTC,rsETH,299814.92911923426
2024-06-22 00:00:00.000 UTC,rsETH,299797.7801969556
2024-06-23 00:00:00.000 UTC,rsETH,299630.5539159758
2024-06-24 00:00:00.000 UTC,rsETH,299639.11647531105
2024-06-25 00:00:00.000 UTC,rsETH,300780.9903976133
2024-06-26 00:00:00.000 UTC,rsETH,300720.04579508275
2024-06-27 00:00:00.000 UTC,rsETH,302290.6982293936
2024-06-28 00:00:00.000 UTC,rsETH,302439.1355252575
2024-06-29 00:00:00.000 UTC,rsETH,294126.8725109866
2024-06-30 00:00:00.000 UTC,rsETH,295371.6344600352
2024-07-01 00:00:00.000 UTC,rsETH,294741.32694013056
2024-07-02 00:00:00.000 UTC,rsETH,294404.2654191388
2024-07-03 00:00:00.000 UTC,rsETH,290593.7845635625
2024-07-04 00:00:00.000 UTC,rsETH,290493.15314028016
2024-07-05 00:00:00.000 UTC,rsETH,285751.2863432832
2024-07-06 00:00:00.000 UTC,rsETH,270238.26457048027
2024-07-07 00:00:00.000 UTC,rsETH,259617.9724203397
2024-07-08 00:00:00.000 UTC,rsETH,259860.50434624197
2024-07-09 00:00:00.000 UTC,rsETH,254921.822611784
2024-07-10 00:00:00.000 UTC,rsETH,253842.5300684549
2024-07-11 00:00:00.000 UTC,rsETH,253383.73026598408
2024-07-12 00:00:00.000 UTC,rsETH,253714.3526480423
2024-07-13 00:00:00.000 UTC,rsETH,253768.59892870183
2024-07-14 00:00:00.000 UTC,rsETH,253513.01269119408
2024-07-15 00:00:00.000 UTC,rsETH,251159.49345352463
2024-07-16 00:00:00.000 UTC,rsETH,250662.65999164118
2024-07-17 00:00:00.000 UTC,rsETH,247629.11493474714
2024-07-18 00:00:00.000 UTC,rsETH,247730.15150075554
2024-07-19 00:00:00.000 UTC,rsETH,250063.5380169628
2024-07-20 00:00:00.000 UTC,rsETH,249717.76114079304
2024-07-21 00:00:00.000 UTC,rsETH,250714.53848200018
2024-07-22 00:00:00.000 UTC,rsETH,252260.954872478
2024-07-23 00:00:00.000 UTC,rsETH,250751.14957997316
2024-07-24 00:00:00.000 UTC,rsETH,250765.77105512534
2024-07-25 00:00:00.000 UTC,rsETH,246861.56876165266
2024-07-26 00:00:00.000 UTC,rsETH,247468.52493337312
2024-07-27 00:00:00.000 UTC,rsETH,248285.19651274735
2024-07-28 00:00:00.000 UTC,rsETH,247833.26813693185
2024-07-29 00:00:00.000 UTC,rsETH,248774.38897337773
2024-07-30 00:00:00.000 UTC,rsETH,247256.78771289813
2024-07-31 00:00:00.000 UTC,rsETH,249176.93953613838
2024-08-01 00:00:00.000 UTC,rsETH,249090.25282064753
2024-08-02 00:00:00.000 UTC,rsETH,248627.17894850083
2024-08-03 00:00:00.000 UTC,rsETH,248517.86270611128
2024-08-04 00:00:00.000 UTC,rsETH,248619.38815914557
2024-08-05 00:00:00.000 UTC,rsETH,250937.59096120446
2024-08-06 00:00:00.000 UTC,rsETH,251512.42372874508
2024-08-07 00:00:00.000 UTC,rsETH,251875.02921421622
2024-08-08 00:00:00.000 UTC,rsETH,248925.96218744665
2024-08-09 00:00:00.000 UTC,rsETH,248146.5800379879
2024-08-10 00:00:00.000 UTC,rsETH,248386.25465441454
2024-08-11 00:00:00.000 UTC,rsETH,248407.57935245268
2024-08-12 00:00:00.000 UTC,rsETH,248555.25414298914
2024-08-13 00:00:00.000 UTC,rsETH,258473.3887400316
2024-08-14 00:00:00.000 UTC,rsETH,258927.82667556196
2024-08-15 00:00:00.000 UTC,rsETH,257626.41388120668
2024-08-16 00:00:00.000 UTC,rsETH,256250.44970487943
2024-08-17 00:00:00.000 UTC,rsETH,255191.2306495158
2024-08-18 00:00:00.000 UTC,rsETH,255163.54354133387
2024-08-19 00:00:00.000 UTC,rsETH,256602.48881137808
2024-08-20 00:00:00.000 UTC,rsETH,256551.03842793612
2024-08-21 00:00:00.000 UTC,rsETH,254806.18450846092
2024-08-22 00:00:00.000 UTC,rsETH,255592.67712282433
2024-08-23 00:00:00.000 UTC,rsETH,254265.52862985042
2024-08-24 00:00:00.000 UTC,rsETH,253265.7447481143
2024-08-25 00:00:00.000 UTC,rsETH,252553.0837755718
2024-08-26 00:00:00.000 UTC,rsETH,252508.50101182723
2024-08-27 00:00:00.000 UTC,rsETH,253070.65471864288
2024-08-28 00:00:00.000 UTC,rsETH,250942.75221026782
2024-08-29 00:00:00.000 UTC,rsETH,251213.4533970205
2024-08-30 00:00:00.000 UTC,rsETH,250953.88684521074
2024-08-31 00:00:00.000 UTC,rsETH,248890.33885743772
2024-09-01 00:00:00.000 UTC,rsETH,248922.34564443104
2024-09-02 00:00:00.000 UTC,rsETH,249238.7237415159
2024-09-03 00:00:00.000 UTC,rsETH,249961.4527009295
2024-09-04 00:00:00.000 UTC,rsETH,250001.667198434
2024-09-05 00:00:00.000 UTC,rsETH,249945.07671549357
2024-09-06 00:00:00.000 UTC,rsETH,249711.7123874526
2024-09-07 00:00:00.000 UTC,rsETH,248783.4724440717
2024-09-08 00:00:00.000 UTC,rsETH,251981.65577006983
2024-09-09 00:00:00.000 UTC,rsETH,252018.64401525984
2024-09-10 00:00:00.000 UTC,rsETH,248907.19574045244
2024-09-11 00:00:00.000 UTC,rsETH,248074.90402728162
2024-09-12 00:00:00.000 UTC,rsETH,247446.78854424215
2024-09-13 00:00:00.000 UTC,rsETH,248543.60738150144
2024-09-14 00:00:00.000 UTC,rsETH,247316.07525651169
2024-09-15 00:00:00.000 UTC,rsETH,246970.97929410153
2024-09-16 00:00:00.000 UTC,rsETH,247155.38467906683
2024-09-17 00:00:00.000 UTC,rsETH,247613.51118026313
2024-09-18 00:00:00.000 UTC,rsETH,246335.9357575589
2024-09-19 00:00:00.000 UTC,rsETH,246730.48449926835
2024-09-20 00:00:00.000 UTC,rsETH,246508.0376780042
2024-09-21 00:00:00.000 UTC,rsETH,246405.95668755943
2024-09-22 00:00:00.000 UTC,rsETH,246764.8584136935
2024-09-23 00:00:00.000 UTC,rsETH,246840.3031332807
2024-09-24 00:00:00.000 UTC,rsETH,246420.4501221249
2024-09-25 00:00:00.000 UTC,rsETH,246220.90173814626
2024-09-26 00:00:00.000 UTC,rsETH,246331.98475139917
2024-09-27 00:00:00.000 UTC,rsETH,246300.68730430707
2024-09-28 00:00:00.000 UTC,rsETH,240836.81476649732
2024-09-29 00:00:00.000 UTC,rsETH,240725.80748005607
2024-09-30 00:00:00.000 UTC,rsETH,240826.6974517531
2024-10-01 00:00:00.000 UTC,rsETH,239564.66239122112
2024-10-02 00:00:00.000 UTC,rsETH,239055.98271906702
2024-10-03 00:00:00.000 UTC,rsETH,238836.66222914864
2024-10-04 00:00:00.000 UTC,rsETH,238892.24839977556
2024-10-05 00:00:00.000 UTC,rsETH,238996.80935486063
2024-10-06 00:00:00.000 UTC,rsETH,239135.12060675395
2024-10-07 00:00:00.000 UTC,rsETH,241720.89266524778
2024-10-08 00:00:00.000 UTC,rsETH,242118.80000851527
2024-10-09 00:00:00.000 UTC,rsETH,239394.59298609133
2024-10-10 00:00:00.000 UTC,rsETH,239210.91317754713
2024-10-11 00:00:00.000 UTC,rsETH,241862.66537435536
2024-10-12 00:00:00.000 UTC,rsETH,239290.3826643424
2024-10-13 00:00:00.000 UTC,rsETH,237886.4254809281
2024-10-14 00:00:00.000 UTC,rsETH,237809.79218980038
2024-10-15 00:00:00.000 UTC,rsETH,237007.0116038669
2024-10-16 00:00:00.000 UTC,rsETH,237748.91501384703
2024-10-17 00:00:00.000 UTC,rsETH,237502.4369693136
2024-10-18 00:00:00.000 UTC,rsETH,237775.23869978965
2024-10-19 00:00:00.000 UTC,rsETH,237417.52119474747
2024-10-20 00:00:00.000 UTC,rsETH,237409.71342717062
2024-10-21 00:00:00.000 UTC,rsETH,236970.43448152932
2024-10-22 00:00:00.000 UTC,rsETH,237707.3231409372
2024-10-23 00:00:00.000 UTC,rsETH,233688.77384786544
2024-10-24 00:00:00.000 UTC,rsETH,233494.45849816487
2024-10-25 00:00:00.000 UTC,rsETH,232363.10637691568
2024-10-26 00:00:00.000 UTC,rsETH,231608.51095317432
2024-10-27 00:00:00.000 UTC,rsETH,231761.52024895343
2024-10-28 00:00:00.000 UTC,rsETH,230811.7163728489
2024-10-29 00:00:00.000 UTC,rsETH,230336.56167313465
2024-10-30 00:00:00.000 UTC,rsETH,229998.73265631316
2024-10-31 00:00:00.000 UTC,rsETH,229835.1581356269
