ts_day,yield_rate,ma7_yield_rate,ma30_yield_rate
2024-11-14,-0.0005668574793865534,0.017757989868335444,0.05830075132488493
2024-11-15,0.013967708492310748,0.020228984518316416,0.05724971162308233
2024-11-16,0.024295250793080855,0.019897842254182695,0.033480756314247746
2024-11-17,0.049416230891318955,0.02380329309302817,0.03502949127787159
2024-11-18,0.0304381303231278,0.025557041795325662,0.033721352133282416
2024-11-19,0.05084448547294136,0.02434200531250553,0.03316506509946962
2024-11-20,0.04909920100545756,0.0340389099169964,0.032526459628832674
2024-11-21,0.04169495533931779,0.032398638104771074,0.03333657257127041
2024-11-22,0.015081173194941505,0.03435464193906208,0.030355263680185714
2024-11-23,0.026150027609604398,0.035877431828723785,0.02831660908546711
2024-11-24,0.029806486610241524,0.03656633630586887,0.027489422036381977
2024-11-25,0.02542008453663113,0.03356681801153289,0.028195723062159946
2024-11-26,0.09244728889121268,0.0413179628325435,0.030755108535923475
2024-11-27,0.06586571829090936,0.0431956169347895,0.032928363223578935
2024-11-28,0.03666918334762513,0.04164186472756045,0.033979872658135034
2024-11-29,0.011948720579625788,0.03792358538259895,0.033832192631897594
2024-11-30,0.019816354512668166,0.03851548304731478,0.032121577522136145
2024-12-01,0.16797450920732387,0.056243543247029716,0.037261286669742
2024-12-02,0.1127254388861381,0.06660841228151679,0.03951546080071094
2024-12-03,0.04193752176099328,0.06867309193456206,0.03835511556114321
2024-12-04,0.011081210229399055,0.05850233210183536,0.038738913524545886
2024-12-05,0.014377763488059291,0.0520663377514791,0.03817581218248228
2024-12-06,0.0315835417159327,0.05143063254751754,0.03607944954417956
2024-12-07,-0.0431475281168319,0.04454360146046033,0.0342437863228617
2024-12-08,0.018157249072956794,0.04433621328049641,0.03501660883190989
2024-12-09,-0.08680781800067473,0.012488422379496584,0.031347182802657456
2024-12-10,-0.06197004553267791,-0.009348513172855417,0.028761935392553166
2024-12-11,0.2171006140899002,0.012546873368257948,0.03523588614691291
2024-12-12,-0.04027367484361532,0.0061275127341311525,0.03198303285081234
2024-12-13,0.0035825182090592155,0.004778107074256143,0.03301717975531326
2024-12-14,0.07493258811607792,0.010196737874274296,0.03366606550624737
2024-12-15,0.12486815341709977,0.031198698066015752,0.037712356180327575
2024-12-16,-0.014841955827122673,0.02707379745350582,0.03678301217002327
2024-12-17,-0.037478439774636774,0.03323996973176056,0.034790312474290444
2024-12-18,0.05984556987715088,0.048466921657989166,0.03512674276415599
2024-12-19,0.029728502099841722,0.025045407659231855,0.035103851531146764
2024-12-20,0.07909887508190207,0.03996697639992153,0.036015283454016465
2024-12-21,0.008294673833770716,0.040555995853010465,0.03469900838396205
2024-12-22,-0.035776807922232624,0.026717321348221648,0.03219991924649269
2024-12-23,0.020063969591650115,0.013616798370040442,0.032360654614128445
2024-12-24,0.01983433356064039,0.017951334543510826,0.03215692254803283
2024-12-25,0.08447877646891039,0.03319598657395422,0.03392054480153828
2024-12-26,-0.001980699026970274,0.025467702960939077,0.03303664855755114
2024-12-27,0.04915980046235482,0.027896615256253216,0.03164027796307185
2024-12-28,0.07650987570759403,0.02757299033446471,0.0319836378797391
2024-12-29,0.059153732053366985,0.03393037261191424,0.03270894590250497
2024-12-30,-0.0014819536214348498,0.03821722939951397,0.03227569834763205
2024-12-31,0.04928445144032772,0.04186978963059867,0.03322628211949203
2025-01-01,0.11249473211378423,0.05345233944974165,0.031436611890668174
2025-01-02,0.09062725928021412,0.05422089980115462,0.03072376738725127
2025-01-03,0.05732322455845757,0.0616338902493331,0.03122008038071786
2025-01-04,0.028199893263712743,0.059013901849502844,0.031772295962469915
2025-01-05,0.03450018553640595,0.05376269057810433,0.03242140635112626
2025-01-06,0.08975224508347325,0.05758750470686761,0.03429781613717595
2025-01-07,0.08282339178508683,0.06812567288268281,0.03836139419852817
2025-01-08,0.02130132454559227,0.06462778202084088,0.038462815987968024
2025-01-09,0.006829976785161829,0.05141968760476308,0.04148339001331759
2025-01-10,0.047495046877985066,0.04602816105448445,0.045014522026564786
2025-01-11,0.06084441151811735,0.046468309424441925,0.03997399936295889
2025-01-12,0.007900572212837754,0.04393089429308255,0.04152800733252189
2025-01-13,0.046927668019063694,0.045484329603414766,0.042926237971554294
2025-01-14,0.06976774570707357,0.04298626718136481,0.042759630151909
2025-01-15,0.09161642639334275,0.044085396507396804,0.04168699379630394
2025-01-16,0.026789971658311408,0.0447714773964867,0.04302995919905987
2025-01-17,-0.038152444113639855,0.039148674784136486,0.04300821712360816
2025-01-18,0.01690317504325431,0.03532469080479514,0.041622978580579235
2025-01-19,-0.017947352146797328,0.025475720346680806,0.040085047798429585
2025-01-20,-0.005202850563457799,0.023837792499643864,0.03736563729374055
2025-01-21,0.06751755050688003,0.026411527810620908,0.039276052670292466
2025-01-22,0.08927453037670645,0.02884987589432502,0.04330996680896792
2025-01-23,0.0676804731395696,0.025857881737603377,0.044845983052449204
2025-01-24,0.011265974350559725,0.02391738207413442,0.04456958436825305
2025-01-25,0.03151459657030345,0.03262576215962733,0.042861062436039925
2025-01-26,0.05141580835065561,0.03693984132305249,0.044583530415963336
2025-01-27,0.015489374972015019,0.04111943221290403,0.04349738765821044
2025-01-28,0.02743862377270458,0.04519961650492433,0.04191444404740756
2025-01-29,0.08376173991034273,0.04723014018035717,0.04270825075247129
2025-01-30,0.18012559778794127,0.05858652360676152,0.04856655886245116
2025-01-31,0.057813624253904884,0.05735316749605343,0.04884169346934075
2025-02-01,0.010075111271368736,0.05720430961115456,0.045537834732488645
2025-02-02,0.05226589346101907,0.05979822172249401,0.04430037131896623
2025-02-03,0.0977199403963397,0.06558623822820452,0.04560349118470436
2025-02-04,0.05466582275530809,0.07048329420111615,0.04645723084572357
2025-02-05,0.008730426753166808,0.06814476957367394,0.04562594830432875
2025-02-06,0.0003504808493602918,0.05771836219105113,0.04274202042580898
2025-02-07,-0.017178162649377424,0.033055392136386294,0.03951616383114884
2025-02-08,0.009798549835287057,0.027053507834059066,0.03914510658242932
2025-02-09,0.04891710517024917,0.031908757071419123,0.040502755885174074
2025-02-10,-0.00531836414706189,0.024710724870409005,0.03879909746501126
2025-02-11,0.004991069388637417,0.01311961599444622,0.03699737675115708
2025-02-12,0.03107263706288137,0.01017046778289288,0.03774486271406171
2025-02-13,0.027969106192816836,0.012575302712849134,0.037133296203537614
2025-02-14,0.049423180436249936,0.01870939016121034,0.03647701990447879
2025-02-15,0.09644140454560626,0.0329118360605833,0.03663266436100342
2025-02-16,0.010325533559901642,0.032977709026160124,0.036101553454603114
2025-02-17,0.04454593459459248,0.03243131270420304,0.03876924309035254
2025-02-18,0.0569115828513154,0.0402100560790002,0.04005983689061258
